Sample Barcode,Sample Label,Freezer Name,Rack Name,Box Name,Filter Type (Conditional)
eSG_L01_21w_0122,eSG_L01_21w_0122,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0123,eSG_L01_21w_0123,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0127,eSG_L01_21w_0127,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0128,eSG_L01_21w_0128,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0132,eSG_L01_21w_0132,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0133,eSG_L01_21w_0133,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0137,eSG_L01_21w_0137,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0144,eSG_L01_21w_0144,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0145,eSG_L01_21w_0145,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0150,eSG_L01_21w_0150,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0154,eSG_L01_21w_0154,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0155,eSG_L01_21w_0155,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0160,eSG_L01_21w_0160,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/21/23,Supor
eSG_L01_21w_0165,eSG_L01_21w_0165,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0171,eSG_L01_21w_0171,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0181,eSG_L01_21w_0181,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0186,eSG_L01_21w_0186,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
